attendance,fill_pct,primary,secondary_or_wtp,ratio,class,action,actual_ticket_rev,actual_conc_rev,actual_total,opt_price,opt_attendance,opt_fill_pct,opt_ticket_rev,opt_conc_rev,opt_total,lift,date,opponent,competition,phase,certainty,confidence,confidence_label,confidence_reason,played,secondary_source,primary_source,model_secondary,att_lo90,att_hi90,lift_lo90,lift_hi90,days_out,opponent_tier
6465,55.8,22.0,28.8,1.31,fair,MONITOR,142230,38790,181020,23.1,6465,55.8,149342,38790,188132,7112,2026-08-29,Northampton Town,League Two,projection,l2_sales_prior,78,high,League Two club-sales prior (thin StubHub); League Two own-history fill + club sales prior; fill LOO MAPE 14%; mid-high tier prior; ≤14 days out,False,l2_sales_prior_warm,club_sales_band,28.8,4599,8331,7497,25493,3.0,3.0
5962,51.5,23.0,24.5,1.07,soft,PROMO_TARGET,137126,35772,172898,21.39,6677,57.6,142821,40062,182883,9985,2026-09-12,Tranmere Rovers,League Two,projection,l2_sales_prior,69,medium,League Two club-sales prior (thin StubHub); League Two own-history fill + club sales prior; fill LOO MAPE 14%; ≤45 days out,False,l2_sales_prior_soft,club_sales_band,24.5,3913,8010,6546,13426,17.0,2.0
6465,55.8,22.0,28.8,1.31,fair,MONITOR,142230,38790,181020,23.1,6465,55.8,149342,38790,188132,7112,2026-09-19,Bristol Rovers,League Two,projection,l2_sales_prior,73,medium,League Two club-sales prior (thin StubHub); League Two own-history fill + club sales prior; fill LOO MAPE 14%; mid-high tier prior; ≤45 days out,False,l2_sales_prior_warm,club_sales_band,28.8,4498,8433,7335,25805,24.0,3.0
5962,51.5,23.0,24.5,1.07,soft,PROMO_TARGET,137126,35772,172898,21.39,6677,57.6,142821,40062,182883,9985,2026-10-03,Newport County,League Two,projection,l2_sales_prior,69,medium,League Two club-sales prior (thin StubHub); League Two own-history fill + club sales prior; fill LOO MAPE 14%; ≤45 days out,False,l2_sales_prior_soft,club_sales_band,24.5,3913,8010,6546,13426,38.0,2.0
6465,55.8,22.0,28.8,1.31,fair,MONITOR,142230,38790,181020,23.1,6465,55.8,149342,38790,188132,7112,2026-10-20,Port Vale,League Two,projection,l2_sales_prior,68,medium,League Two club-sales prior (thin StubHub); League Two own-history fill + club sales prior; fill LOO MAPE 14%; mid-high tier prior,False,l2_sales_prior_warm,club_sales_band,28.8,4396,8534,7175,26114,55.0,3.0
5962,51.5,23.0,24.5,1.07,soft,PROMO_TARGET,137126,35772,172898,21.39,6677,57.6,142821,40062,182883,9985,2026-10-24,Grimsby Town,League Two,projection,l2_sales_prior,64,medium,League Two club-sales prior (thin StubHub); League Two own-history fill + club sales prior; fill LOO MAPE 14%,False,l2_sales_prior_soft,club_sales_band,24.5,3812,8112,6380,13590,59.0,2.0
5962,51.5,23.0,24.5,1.07,soft,PROMO_TARGET,137126,35772,172898,21.39,6677,57.6,142821,40062,182883,9985,2026-11-21,Crewe Alexandra,League Two,projection,l2_sales_prior,64,medium,League Two club-sales prior (thin StubHub); League Two own-history fill + club sales prior; fill LOO MAPE 14%,False,l2_sales_prior_soft,club_sales_band,24.5,3812,8112,6380,13590,87.0,2.0
6576,56.8,24.0,29.5,1.23,fair,MONITOR,157824,39456,197280,25.2,6576,56.8,165715,39456,205171,7891,2026-12-01,Swindon Town,League Two,projection,l2_sales_prior,72,medium,League Two club-sales prior (thin StubHub); League Two own-history fill + club sales prior; fill LOO MAPE 14%; rivalry / high-tier prior,False,l2_sales_prior_rivalry,club_sales_band,29.5,4588,8564,7868,21196,97.0,4.0
5962,51.5,23.0,24.5,1.07,soft,PROMO_TARGET,137126,35772,172898,21.39,6677,57.6,142821,40062,182883,9985,2026-12-19,Cheltenham Town,League Two,projection,l2_sales_prior,64,medium,League Two club-sales prior (thin StubHub); League Two own-history fill + club sales prior; fill LOO MAPE 14%,False,l2_sales_prior_soft,club_sales_band,24.5,3812,8112,6380,13590,115.0,2.0
5962,51.5,23.0,24.5,1.07,soft,PROMO_TARGET,137126,35772,172898,21.39,6677,57.6,142821,40062,182883,9985,2026-12-29,Barnet,League Two,projection,l2_sales_prior,64,medium,League Two club-sales prior (thin StubHub); League Two own-history fill + club sales prior; fill LOO MAPE 14%,False,l2_sales_prior_soft,club_sales_band,24.5,3812,8112,6380,13590,125.0,2.0
6465,55.8,22.0,28.8,1.31,fair,MONITOR,142230,38790,181020,23.1,6465,55.8,149342,38790,188132,7112,2027-01-02,Exeter City,League Two,projection,l2_sales_prior,68,medium,League Two club-sales prior (thin StubHub); League Two own-history fill + club sales prior; fill LOO MAPE 14%; mid-high tier prior,False,l2_sales_prior_warm,club_sales_band,28.8,4396,8534,7175,26114,129.0,3.0
5962,51.5,23.0,24.5,1.07,soft,PROMO_TARGET,137126,35772,172898,21.39,6677,57.6,142821,40062,182883,9985,2027-01-16,Accrington Stanley,League Two,projection,l2_sales_prior,64,medium,League Two club-sales prior (thin StubHub); League Two own-history fill + club sales prior; fill LOO MAPE 14%,False,l2_sales_prior_soft,club_sales_band,24.5,3812,8112,6380,13590,143.0,2.0
5962,51.5,23.0,24.5,1.07,soft,PROMO_TARGET,137126,35772,172898,21.39,6677,57.6,142821,40062,182883,9985,2027-01-30,Shrewsbury Town,League Two,projection,l2_sales_prior,56,medium,League Two club-sales prior (thin StubHub); League Two own-history fill + club sales prior; fill LOO MAPE 14%; far horizon,False,l2_sales_prior_soft,club_sales_band,24.5,3650,8274,6120,13850,157.0,2.0
5962,51.5,23.0,24.5,1.07,soft,PROMO_TARGET,137126,35772,172898,21.39,6677,57.6,142821,40062,182883,9985,2027-02-09,Chesterfield,League Two,projection,l2_sales_prior,56,medium,League Two club-sales prior (thin StubHub); League Two own-history fill + club sales prior; fill LOO MAPE 14%; far horizon,False,l2_sales_prior_soft,club_sales_band,24.5,3650,8274,6120,13850,167.0,2.0
6309,54.5,23.0,24.5,1.07,soft,PROMO_TARGET,145107,37854,182961,21.39,7066,61.0,151142,42396,193538,10577,2027-02-13,Rochdale,League Two,projection,l2_sales_prior,56,medium,League Two club-sales prior (thin StubHub); League Two own-history fill + club sales prior; fill LOO MAPE 14%; far horizon,False,l2_sales_prior_soft,club_sales_band,24.5,3997,8622,6685,14440,171.0,2.0
6465,55.8,22.0,28.8,1.31,fair,MONITOR,142230,38790,181020,23.1,6465,55.8,149342,38790,188132,7112,2027-02-27,Colchester United,League Two,projection,l2_sales_prior,60,medium,League Two club-sales prior (thin StubHub); League Two own-history fill + club sales prior; fill LOO MAPE 14%; mid-high tier prior; far horizon,False,l2_sales_prior_warm,club_sales_band,28.8,4234,8696,6921,26610,185.0,3.0
5962,51.5,23.0,24.5,1.07,soft,PROMO_TARGET,137126,35772,172898,21.39,6677,57.6,142821,40062,182883,9985,2027-03-13,Fleetwood Town,League Two,projection,l2_sales_prior,56,medium,League Two club-sales prior (thin StubHub); League Two own-history fill + club sales prior; fill LOO MAPE 14%; far horizon,False,l2_sales_prior_soft,club_sales_band,24.5,3650,8274,6120,13850,199.0,2.0
5962,51.5,23.0,24.5,1.07,soft,PROMO_TARGET,137126,35772,172898,21.39,6677,57.6,142821,40062,182883,9985,2027-03-29,Crawley Town,League Two,projection,l2_sales_prior,56,medium,League Two club-sales prior (thin StubHub); League Two own-history fill + club sales prior; fill LOO MAPE 14%; far horizon,False,l2_sales_prior_soft,club_sales_band,24.5,3650,8274,6120,13850,215.0,2.0
5962,51.5,23.0,24.5,1.07,soft,PROMO_TARGET,137126,35772,172898,21.39,6677,57.6,142821,40062,182883,9985,2027-04-10,Oldham Athletic,League Two,projection,l2_sales_prior,56,medium,League Two club-sales prior (thin StubHub); League Two own-history fill + club sales prior; fill LOO MAPE 14%; far horizon,False,l2_sales_prior_soft,club_sales_band,24.5,3650,8274,6120,13850,227.0,2.0
7271,62.8,25.0,30.5,1.22,undervalued,PRICE_CAPTURE,181775,43626,225401,27.48,7271,62.8,199771,43626,243397,17996,2027-04-13,Rotherham United,League Two,projection,l2_sales_prior,64,medium,League Two club-sales prior (thin StubHub); League Two own-history fill + club sales prior; fill LOO MAPE 14%; rivalry / high-tier prior; far horizon,False,l2_sales_prior_rivalry,club_sales_band,30.5,5121,9421,8998,23317,230.0,4.0
6309,54.5,23.0,24.5,1.07,soft,PROMO_TARGET,145107,37854,182961,21.39,7066,61.0,151142,42396,193538,10577,2027-04-24,York City,League Two,projection,l2_sales_prior,56,medium,League Two club-sales prior (thin StubHub); League Two own-history fill + club sales prior; fill LOO MAPE 14%; far horizon,False,l2_sales_prior_soft,club_sales_band,24.5,3997,8622,6685,14440,241.0,2.0
6465,55.8,22.0,28.8,1.31,fair,MONITOR,142230,38790,181020,23.1,6465,55.8,149342,38790,188132,7112,2027-05-01,Salford City,League Two,projection,l2_sales_prior,60,medium,League Two club-sales prior (thin StubHub); League Two own-history fill + club sales prior; fill LOO MAPE 14%; mid-high tier prior; far horizon,False,l2_sales_prior_warm,club_sales_band,28.8,4234,8696,6921,26610,248.0,3.0
