secondary_get_in,listing_count_est,obs_source,snapshot_date,search_url,event_url,fixture_date,home,away,fixture_id,track,horizon_days,days_out
133.0,24,stubhub_uk_live,2026-08-30,https://www.stubhub.co.uk/find/s/?q=Coventry%20City%20Brighton%20%26%20Hove%20Albion%20tickets,,2026-09-13,Coventry City,Brighton & Hove Albion,cov-2627-h02,pl_coventry,14,
240.0,24,stubhub_uk_live,2026-08-30,https://www.stubhub.co.uk/find/s/?q=Coventry%20City%20Newcastle%20United%20tickets,,2026-10-10,Coventry City,Newcastle United,cov-2627-h03,pl_coventry,41,
114.0,36,stubhub_uk_live,2026-08-30,https://www.stubhub.co.uk/find/s/?q=Coventry%20City%20Fulham%20tickets,,2026-10-24,Coventry City,Fulham,cov-2627-h04,pl_coventry,55,
56.16,42,wnba_tier_prior,2026-08-30,,,2026-08-30,Portland Fire,Golden State Valkyries,por-26-h20,wnba_portland,0,0.0
40.0,54,wnba_tier_prior,2026-08-30,,,2026-09-17,Portland Fire,Phoenix Mercury,por-26-h21,wnba_portland,18,18.0
52.0,42,wnba_tier_prior,2026-08-30,,,2026-09-22,Portland Fire,Golden State Valkyries,por-26-h22,wnba_portland,23,23.0
